ORGAO,FUNCAO,SUBFUNCAO,ACAO
AGENCIA DE FISCALIZACAO DE FORTALEZA,04 - ADMINISTRACAO,122 - ADMINISTRACAO GERAL,"1796 - AQUISICAO DE EQUIPAMENTOS, MOBILIARIOS E VEICULOS"
AGENCIA DE FISCALIZACAO DE FORTALEZA,04 - ADMINISTRACAO,122 - ADMINISTRACAO GERAL,2016 - MANUTENCAO E FUNCIONAMENTO ADMINISTRATIVO
AGENCIA DE FISCALIZACAO DE FORTALEZA,04 - ADMINISTRACAO,122 - ADMINISTRACAO GERAL,2195 - REMUNERACAO DE PESSOAL ATIVO DO MUNICIPIO E ENCARGOS SOCIAIS
AGENCIA DE FISCALIZACAO DE FORTALEZA,04 - ADMINISTRACAO,126 - TECNOLOGIA DA INFORMACAO,1005 - AQUISICAO E IMPLANTACAO DE PRODUTOS E SERVICOS DE TI
AGENCIA DE FISCALIZACAO DE FORTALEZA,04 - ADMINISTRACAO,128 - FORMACAO DE RECURSOS HUMANOS,2189 - FORMACAO CONTINUADA PARA OS SERVIDORES
AGENCIA DE FISCALIZACAO DE FORTALEZA,18 - GESTAO AMBIENTAL,125 - NORMALIZACAO E FISCALIZACAO,1432 - MODERNIZACAO DOS CANAIS DE COMUNICACAO E FISCALIZACAO INTEGRADA
AGENCIA DE FISCALIZACAO DE FORTALEZA,18 - GESTAO AMBIENTAL,125 - NORMALIZACAO E FISCALIZACAO,1437 - REALIZACAO DE EVENTOS COM FOCO NA INOVACAO E ATITUDES CIDADAS
AGENCIA DE FISCALIZACAO DE FORTALEZA,18 - GESTAO AMBIENTAL,125 - NORMALIZACAO E FISCALIZACAO,2191 - GESTAO DA FISCALIZACAO INTEGRADA
AGENCIA DE FISCALIZACAO DE FORTALEZA,28 - ENCARGOS ESPECIAIS,846 - OUTROS ENCARGOS ESPECIAIS,0024 - CUMPRIMENTO DE SENTENCA JUDICIAL
"AUTARQUIA DE REGULACAO, FISCALIZACAO E CONTROLE DOS SERVICOS PUBLICOS DE SANEAMENTO AMBIENTAL",02 - JUDICIARIA,122 - ADMINISTRACAO GERAL,2195 - REMUNERACAO DE PESSOAL ATIVO DO MUNICIPIO E ENCARGOS SOCIAIS
"AUTARQUIA DE REGULACAO, FISCALIZACAO E CONTROLE DOS SERVICOS PUBLICOS DE SANEAMENTO AMBIENTAL",04 - ADMINISTRACAO,122 - ADMINISTRACAO GERAL,1125 - REALIZACAO DE CONCURSO PUBLICO E SELECAO DE PESSOAL
"AUTARQUIA DE REGULACAO, FISCALIZACAO E CONTROLE DOS SERVICOS PUBLICOS DE SANEAMENTO AMBIENTAL",04 - ADMINISTRACAO,122 - ADMINISTRACAO GERAL,"1796 - AQUISICAO DE EQUIPAMENTOS, MOBILIARIOS E VEICULOS"
"AUTARQUIA DE REGULACAO, FISCALIZACAO E CONTROLE DOS SERVICOS PUBLICOS DE SANEAMENTO AMBIENTAL",04 - ADMINISTRACAO,122 - ADMINISTRACAO GERAL,2016 - MANUTENCAO E FUNCIONAMENTO ADMINISTRATIVO
"AUTARQUIA DE REGULACAO, FISCALIZACAO E CONTROLE DOS SERVICOS PUBLICOS DE SANEAMENTO AMBIENTAL",04 - ADMINISTRACAO,125 - NORMALIZACAO E FISCALIZACAO,"1145 - CONTRATACAO DE ASSESSORIA, CONSULTORIA E SERVICOS ESPECIALIZADOS"
"AUTARQUIA DE REGULACAO, FISCALIZACAO E CONTROLE DOS SERVICOS PUBLICOS DE SANEAMENTO AMBIENTAL",04 - ADMINISTRACAO,125 - NORMALIZACAO E FISCALIZACAO,2559 - MANUTENCAO DO PROGRAMA DE FISCALIZACAO INTEGRADA
"AUTARQUIA DE REGULACAO, FISCALIZACAO E CONTROLE DOS SERVICOS PUBLICOS DE SANEAMENTO AMBIENTAL",04 - ADMINISTRACAO,126 - TECNOLOGIA DA INFORMACAO,1005 - AQUISICAO E IMPLANTACAO DE PRODUTOS E SERVICOS DE TI
"AUTARQUIA DE REGULACAO, FISCALIZACAO E CONTROLE DOS SERVICOS PUBLICOS DE SANEAMENTO AMBIENTAL",04 - ADMINISTRACAO,128 - FORMACAO DE RECURSOS HUMANOS,2019 - CAPACITACAO DE SERVIDORES
"AUTARQUIA DE REGULACAO, FISCALIZACAO E CONTROLE DOS SERVICOS PUBLICOS DE SANEAMENTO AMBIENTAL",18 - GESTAO AMBIENTAL,125 - NORMALIZACAO E FISCALIZACAO,2554 - REGULAMENTACAO E FISCALIZACAO DOS SERVICOS PUBLICOS
"AUTARQUIA DE REGULACAO, FISCALIZACAO E CONTROLE DOS SERVICOS PUBLICOS DE SANEAMENTO AMBIENTAL",28 - ENCARGOS ESPECIAIS,846 - OUTROS ENCARGOS ESPECIAIS,0024 - CUMPRIMENTO DE SENTENCA JUDICIAL
AUTARQUIA DE URBANISMO E PAISAGISMO DE FORTALEZA,04 - ADMINISTRACAO,128 - FORMACAO DE RECURSOS HUMANOS,2019 - CAPACITACAO DE SERVIDORES
AUTARQUIA DE URBANISMO E PAISAGISMO DE FORTALEZA,15 - URBANISMO,451 - INFRA-ESTRUTURA URBANA,2093 - MANUTENCAO DE MOBILIARIO URBANO
AUTARQUIA DE URBANISMO E PAISAGISMO DE FORTALEZA,15 - URBANISMO,452 - SERVICOS URBANOS,"2001 - REVITALIZACAO, ARBORIZACAO E PAISAGISMO DE VIAS E LOGRADOUROS PUBLICOS"
AUTARQUIA DE URBANISMO E PAISAGISMO DE FORTALEZA,15 - URBANISMO,452 - SERVICOS URBANOS,2132 - MANUTENCAO DE PARQUES URBANOS TEMATICOS
AUTARQUIA DE URBANISMO E PAISAGISMO DE FORTALEZA,18 - GESTAO AMBIENTAL,122 - ADMINISTRACAO GERAL,"1796 - AQUISICAO DE EQUIPAMENTOS, MOBILIARIOS E VEICULOS"
AUTARQUIA DE URBANISMO E PAISAGISMO DE FORTALEZA,18 - GESTAO AMBIENTAL,122 - ADMINISTRACAO GERAL,2016 - MANUTENCAO E FUNCIONAMENTO ADMINISTRATIVO
AUTARQUIA DE URBANISMO E PAISAGISMO DE FORTALEZA,18 - GESTAO AMBIENTAL,122 - ADMINISTRACAO GERAL,2195 - REMUNERACAO DE PESSOAL ATIVO DO MUNICIPIO E ENCARGOS SOCIAIS
AUTARQUIA DE URBANISMO E PAISAGISMO DE FORTALEZA,18 - GESTAO AMBIENTAL,126 - TECNOLOGIA DA INFORMACAO,1005 - AQUISICAO E IMPLANTACAO DE PRODUTOS E SERVICOS DE TI
AUTARQUIA DE URBANISMO E PAISAGISMO DE FORTALEZA,18 - GESTAO AMBIENTAL,451 - INFRA-ESTRUTURA URBANA,"1604 - CONSTRUCAO, AMPLIACAO E REFORMA DE PREDIOS PUBLICOS"
AUTARQUIA DE URBANISMO E PAISAGISMO DE FORTALEZA,18 - GESTAO AMBIENTAL,541 - PRESERVACAO E CONSERVACAO AMBIENTAL,"2049 - MANUTENCAO DOS ESPELHOS D' AGUA,DA REDE DE DRENAGEM NATURAL DO MUNICIPIO E IRRIGACAO EM PRACAS, PARQUES E CANTEIROS"
AUTARQUIA DE URBANISMO E PAISAGISMO DE FORTALEZA,28 - ENCARGOS ESPECIAIS,846 - OUTROS ENCARGOS ESPECIAIS,0024 - CUMPRIMENTO DE SENTENCA JUDICIAL
AUTARQUIA MUNICIPAL DE TRANSITO E CIDADANIA,04 - ADMINISTRACAO,122 - ADMINISTRACAO GERAL,"1796 - AQUISICAO DE EQUIPAMENTOS, MOBILIARIOS E VEICULOS"
AUTARQUIA MUNICIPAL DE TRANSITO E CIDADANIA,04 - ADMINISTRACAO,122 - ADMINISTRACAO GERAL,2016 - MANUTENCAO E FUNCIONAMENTO ADMINISTRATIVO
